respondent,pid,pid_strength_1,democrat,republican,independent,democrat_noleaners,democrat_leaners,questions,rgc_c_aca2,rgc_c_dt,responses,aca2_correct,dt_correct,correct,knowledge,cheating,guessing,inference,expressive,congenial
206,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
206,NA,4,1,0,0,NA,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
207,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,1
207,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
209,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
209,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
211,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,NA,0,NA,0,0,0,0,0,0,1
211,NA,4,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
212,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
212,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,0
219,Democrat,7,1,0,0,1,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,1
219,Democrat,7,1,0,0,1,1,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
221,NA,6,NA,NA,NA,NA,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
221,NA,6,NA,NA,NA,NA,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
223,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,1
223,NA,4,1,0,0,NA,1,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
225,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,NA
225,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
232,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,NA
232,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,NA
237,NA,2,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
237,NA,2,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
240,Republican,6,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,0
240,Republican,6,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
246,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
246,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
247,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,NA
247,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
248,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,NA
248,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,NA
251,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
251,NA,4,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
252,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,1
252,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
253,NA,1,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
253,NA,1,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
254,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
254,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
257,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,NA
257,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,NA
261,Democrat,3,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
261,Democrat,3,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
266,Something else,0,1,0,0,NA,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
266,Something else,0,1,0,0,NA,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,0
267,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,0
267,Republican,10,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,1
271,NA,7,NA,NA,NA,NA,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
271,NA,7,NA,NA,NA,NA,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
276,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,1
276,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
278,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Don’t know,NA,0,NA,0,0,0,0,0,0,NA
278,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Don’t know,NA,NA,0,0,0,0,0,0,0,NA
281,Democrat,3,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
281,Democrat,3,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
284,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
284,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
285,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,1
285,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Replace Medicare with a “public option”,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
287,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,1
287,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
288,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
288,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
290,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,NA,0,NA,0,0,0,0,0,0,NA
290,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,NA
291,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Don’t know,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,NA
291,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Cut benefits to existing Medicare patients,Don’t know,NA,NA,0,0,0,0,0,0,0,NA
292,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,NA
292,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
299,Democrat,4,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
299,Democrat,4,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
304,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,1
304,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
307,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
307,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,0
309,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
309,Republican,10,0,1,0,0,0,rgc_c_dt_p,Create government panels to make end-of-life decisions for people on Medicare,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
310,Something else,5,0,0,1,NA,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
310,Something else,5,0,0,1,NA,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
316,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,0
316,Republican,9,0,1,0,0,0,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
324,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
324,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
326,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
326,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
327,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,NA
327,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
328,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
328,Republican,10,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
329,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
329,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
330,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,1
330,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,0
336,Something else,3,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
336,Something else,3,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
337,Republican,5,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
337,Republican,5,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
340,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,It makes me feel good to think that,1,NA,1,0,0,0,0,1,1
340,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
342,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
342,NA,3,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
345,Republican,10,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
345,Republican,10,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
346,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
346,NA,3,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
347,Democrat,3,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,NA,0,NA,0,0,0,0,0,0,1
347,Democrat,3,1,0,0,1,1,rgc_c_dt_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,0
349,Democrat,5,1,0,0,1,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,1
349,Democrat,5,1,0,0,1,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
350,Something else,5,0,0,1,NA,0,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",0,NA,0,0,0,0,0,0,0
350,Something else,5,0,0,1,NA,0,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
352,Republican,8,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
352,Republican,8,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
353,Republican,8,0,1,0,0,0,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,0
353,Republican,8,0,1,0,0,0,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
358,Democrat,1,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
358,Democrat,1,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
359,Republican,6,0,1,0,0,0,rgc_c_aca2_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,0
359,Republican,6,0,1,0,0,0,rgc_c_dt_p,Cut benefits to existing Medicare patients,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,1
370,Democrat,4,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
370,Democrat,4,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",NA,1,1,0,0,0,1,0,0
371,NA,6,NA,NA,NA,NA,0,rgc_c_aca2_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",0,NA,0,0,0,0,0,0,0
371,NA,6,NA,NA,NA,NA,0,rgc_c_dt_p,Replace Medicare with a “public option”,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
372,NA,2,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
372,NA,2,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
379,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
379,NA,3,1,0,0,NA,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
381,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
381,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
386,Democrat,2,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Strip immigrants from several Muslim-majority countries of their green cards,NA,0,NA,0,0,0,0,0,0,1
386,Democrat,2,1,0,0,1,1,rgc_c_dt_p,Don’t know,Strip immigrants from several Muslim-majority countries of their green cards,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,0
387,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",1,NA,1,1,0,0,0,0,NA
387,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,NA
394,NA,5,0,0,1,NA,NA,rgc_c_aca2_p,Create government panels to make end-of-life decisions for people on Medicare,Subject immigrants living in the U.S. illegally to deportation,I just thought I’d take a shot,0,NA,0,0,0,0,0,0,NA
394,NA,5,0,0,1,NA,NA,rgc_c_dt_p,Create government panels to make end-of-life decisions for people on Medicare,Subject immigrants living in the U.S. illegally to deportation,"I’ve read, seen, or heard that",NA,0,0,0,0,0,0,0,NA
395,Republican,9,0,1,0,0,0,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,0
395,Republican,9,0,1,0,0,0,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,1
399,NA,3,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,NA,0,NA,0,0,0,0,0,0,1
399,NA,3,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Subject immigrants living in the U.S. illegally to deportation,"It makes sense, in view of other things I know",NA,0,0,0,0,0,0,0,0
400,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
400,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
401,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"It makes sense, in view of other things I know",1,NA,1,0,0,0,1,0,1
401,NA,4,1,0,0,NA,1,rgc_c_dt_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
402,Democrat,0,1,0,0,1,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
402,Democrat,0,1,0,0,1,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
405,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,NA,0,NA,0,0,0,0,0,0,1
405,NA,4,1,0,0,NA,1,rgc_c_dt_p,Don’t know,Temporarily ban immigrants from several majority-Muslim countries,"I’ve read, seen, or heard that",NA,1,1,1,0,0,0,0,0
408,NA,4,1,0,0,NA,1,rgc_c_aca2_p,Limit future increases in payments to Medicare providers,Temporarily ban immigrants from several majority-Muslim countries,I just thought I’d take a shot,1,NA,1,0,0,1,0,0,1
